host,ip,port,protocol,title,domain,country,city,link,as_organization
https://132.226.16.83:8888,132.226.16.83,8888,https,,,KR,Seoul,https://132.226.16.83:8888,ORACLE-BMC-31898
https://158.180.85.29,158.180.85.29,443,https,,,KR,Chuncheon,https://158.180.85.29,ORACLE-BMC-31898
https://131.186.28.236,131.186.28.236,443,https,,,KR,Seoul,https://131.186.28.236,ORACLE-BMC-31898
https://193.123.241.31,193.123.241.31,443,https,403 Forbidden,,KR,Seoul,https://193.123.241.31,ORACLE-BMC-31898
https://193.123.241.31,193.123.241.31,443,https,,,KR,Seoul,https://193.123.241.31,ORACLE-BMC-31898
https://64.110.74.245,64.110.74.245,443,https,403 Forbidden,,KR,Seoul,https://64.110.74.245,ORACLE-BMC-31898
https://64.110.74.245,64.110.74.245,443,https,,,KR,Seoul,https://64.110.74.245,ORACLE-BMC-31898
https://193.123.252.41,193.123.252.41,443,https,403 Forbidden,,KR,Seoul,https://193.123.252.41,ORACLE-BMC-31898
https://193.123.236.90,193.123.236.90,443,https,,,KR,Seoul,https://193.123.236.90,ORACLE-BMC-31898
https://146.56.130.151,146.56.130.151,443,https,,,KR,Seoul,https://146.56.130.151,ORACLE-BMC-31898
https://158.180.90.243,158.180.90.243,443,https,403 Forbidden,,KR,Chuncheon,https://158.180.90.243,ORACLE-BMC-31898
https://158.180.90.243,158.180.90.243,443,https,,,KR,Chuncheon,https://158.180.90.243,ORACLE-BMC-31898
https://158.180.79.16:12199,158.180.79.16,12199,https,,,KR,Chuncheon,https://158.180.79.16:12199,ORACLE-BMC-31898
https://158.180.79.16:12199,158.180.79.16,12199,https,403 Forbidden,,KR,Chuncheon,https://158.180.79.16:12199,ORACLE-BMC-31898
https://152.69.234.137:12199,152.69.234.137,12199,https,403 Forbidden,,KR,Chuncheon,https://152.69.234.137:12199,ORACLE-BMC-31898
https://152.69.234.137:12199,152.69.234.137,12199,https,,,KR,Chuncheon,https://152.69.234.137:12199,ORACLE-BMC-31898
https://158.180.69.78:12198,158.180.69.78,12198,https,403 Forbidden,,KR,Chuncheon,https://158.180.69.78:12198,ORACLE-BMC-31898
https://158.180.69.78:12198,158.180.69.78,12198,https,,,KR,Chuncheon,https://158.180.69.78:12198,ORACLE-BMC-31898
https://152.70.240.67,152.70.240.67,443,https,403 Forbidden,,KR,Seoul,https://152.70.240.67,ORACLE-BMC-31898
146.56.161.229:443,146.56.161.229,443,http,,,KR,Seoul,http://146.56.161.229:443,ORACLE-BMC-31898
https://152.70.240.67,152.70.240.67,443,https,,,KR,Seoul,https://152.70.240.67,ORACLE-BMC-31898
https://146.56.190.0,146.56.190.0,443,https,,,KR,Seoul,https://146.56.190.0,ORACLE-BMC-31898
https://146.56.166.197:8888,146.56.166.197,8888,https,,,KR,Seoul,https://146.56.166.197:8888,ORACLE-BMC-31898
https://131.186.23.141:82,131.186.23.141,82,https,,,KR,Seoul,https://131.186.23.141:82,ORACLE-BMC-31898
144.24.82.83:888,144.24.82.83,888,http,,,KR,Chuncheon,http://144.24.82.83:888,ORACLE-BMC-31898
https://146.56.44.226:55555,146.56.44.226,55555,https,,,KR,Seoul,https://146.56.44.226:55555,ORACLE-BMC-31898
https://144.24.90.133:8443,144.24.90.133,8443,https,,,KR,Chuncheon,https://144.24.90.133:8443,ORACLE-BMC-31898
https://144.24.90.133:8443,144.24.90.133,8443,https,403 Forbidden,,KR,Chuncheon,https://144.24.90.133:8443,ORACLE-BMC-31898
https://152.67.209.53:8443,152.67.209.53,8443,https,,,KR,Chuncheon,https://152.67.209.53:8443,ORACLE-BMC-31898
https://144.24.72.148:12141,144.24.72.148,12141,https,,,KR,Chuncheon,https://144.24.72.148:12141,ORACLE-BMC-31898
https://144.24.72.148:12141,144.24.72.148,12141,https,403 Forbidden,,KR,Chuncheon,https://144.24.72.148:12141,ORACLE-BMC-31898
https://193.122.122.57:8443,193.122.122.57,8443,https,,,KR,Seoul,https://193.122.122.57:8443,ORACLE-BMC-31898
